day,temperature_c,humidity_index,operational_load,powder_quality,binder_viscosity_stress,voltage_stress,recoater_blade_pct,nozzle_plate_pct,heating_elements_pct
1,21.0000,0.1012,1.0000,0.9478,0.0469,0.0702,100%,100%,100%
2,21.1644,0.1059,2.0059,0.9526,0.0476,0.0889,100%,100%,100%
3,21.1277,0.1004,3.0140,0.9513,0.0383,0.0690,100%,100%,100%
4,21.3429,0.0924,4.0432,0.9541,0.0288,0.0571,100%,99%,100%
5,21.4613,0.0757,5.0974,0.9492,0.0220,0.0738,100%,99%,100%
6,21.2178,0.0827,6.1523,0.9433,0.0183,0.0762,99%,99%,100%
7,21.5032,0.0821,7.2297,0.9431,0.0149,0.0725,99%,99%,100%
8,21.6598,0.0830,8.3307,0.9411,0.0129,0.0899,99%,99%,100%
9,21.8315,0.0760,9.4393,0.9413,0.0122,0.0980,99%,99%,100%
10,21.6084,0.0850,10.5405,0.9432,0.0081,0.0986,99%,99%,100%
11,21.5786,0.0918,11.6555,0.9443,0.0084,0.0915,99%,99%,100%
12,21.5011,0.0901,12.7807,0.9427,0.0116,0.0764,99%,98%,100%
13,21.7571,0.0849,13.9331,0.9388,0.0133,0.0610,99%,98%,100%
14,21.8434,0.0813,15.1034,0.9344,0.0180,0.0556,99%,98%,100%
15,22.0371,0.0741,16.2760,0.9352,0.0275,0.0909,99%,98%,100%
16,22.0031,0.0736,17.4858,0.9419,0.0247,0.0991,98%,98%,100%
17,21.8395,0.0679,18.6931,0.9417,0.0330,0.1004,98%,98%,100%
18,21.8722,0.0718,19.9252,0.9367,0.0281,0.0983,98%,98%,99%
19,21.6105,0.0682,21.1866,0.9359,0.0282,0.1004,98%,97%,99%
20,21.8071,0.0646,22.4584,0.9388,0.0336,0.1314,98%,97%,99%
21,21.8861,0.0761,23.6939,0.9394,0.0408,0.1274,98%,97%,99%
22,22.0410,0.0695,24.8938,0.9342,0.0445,0.1298,98%,97%,99%
23,21.9537,0.0562,26.0633,0.9341,0.0484,0.1394,98%,97%,99%
24,22.2361,0.0584,27.2490,0.9361,0.0554,0.1300,98%,97%,99%
25,22.4720,0.0410,28.3982,0.9393,0.0562,0.1106,97%,96%,99%
26,22.6390,0.0424,29.5634,0.9311,0.0599,0.1109,97%,96%,99%
27,22.4558,0.0495,30.7222,0.9293,0.0568,0.1281,97%,96%,99%
28,22.4358,0.0493,31.8706,0.9312,0.0493,0.1063,97%,96%,99%
29,22.1621,0.0486,32.9912,0.9388,0.0389,0.1021,97%,96%,99%
30,21.9547,0.0315,34.0804,0.9434,0.0468,0.0850,97%,96%,99%
31,22.0645,0.0351,35.1397,0.9388,0.0503,0.0542,97%,96%,99%
32,22.2114,0.0376,36.2211,0.9425,0.0479,0.0789,97%,95%,99%
33,22.4919,0.0274,37.2765,0.9406,0.0449,0.0715,97%,95%,99%
34,22.3874,0.0420,38.3487,0.9400,0.0423,0.0591,97%,95%,99%
35,22.3096,0.0314,39.4370,0.9385,0.0365,0.0320,97%,95%,99%
36,22.2914,0.0172,40.5272,0.9396,0.0322,0.0546,97%,95%,99%
37,22.1050,0.0020,41.6542,0.9462,0.0302,0.0519,96%,95%,99%
38,21.8830,0.0014,42.7711,0.9421,0.0356,0.0647,96%,95%,99%
39,21.8684,0.0033,43.8508,0.9454,0.0373,0.0641,96%,94%,99%
40,21.7046,0.0061,44.9301,0.9456,0.0297,0.0490,96%,94%,99%
41,21.8065,0.0026,45.9856,0.9487,0.0356,0.0461,96%,94%,99%
42,21.7687,0.0000,47.0111,0.9519,0.0401,0.0319,96%,94%,99%
43,21.9684,0.0060,48.0760,0.9513,0.0410,0.0202,96%,94%,99%
44,22.0885,0.0000,49.1296,0.9538,0.0414,0.0340,96%,94%,99%
45,21.9759,0.0000,50.1985,0.9585,0.0440,0.0521,96%,94%,99%
46,22.1753,0.0104,51.2443,0.9539,0.0450,0.0772,96%,94%,99%
47,22.3581,0.0110,52.2511,0.9589,0.0413,0.0701,96%,93%,99%
48,22.2906,0.0140,53.2959,0.9601,0.0508,0.0616,96%,93%,99%
49,22.1636,0.0183,54.3586,0.9661,0.0554,0.0852,96%,93%,99%
50,22.2731,0.0129,55.4379,0.9576,0.0576,0.1015,96%,93%,98%
51,22.0570,0.0079,56.5426,0.9572,0.0538,0.0896,96%,93%,98%
52,21.8769,0.0122,57.6329,0.9551,0.0485,0.0700,95%,93%,98%
53,21.5813,0.0065,58.7181,0.9523,0.0533,0.0562,95%,93%,98%
54,21.7535,0.0084,59.7932,0.9444,0.0551,0.0583,95%,92%,98%
55,21.8524,0.0069,60.8983,0.9432,0.0580,0.0580,95%,92%,98%
56,21.9755,0.0000,61.9887,0.9419,0.0530,0.0639,95%,92%,98%
57,22.1439,0.0070,63.0664,0.9372,0.0535,0.1012,95%,92%,98%
58,22.1193,0.0000,64.1641,0.9334,0.0477,0.0882,95%,92%,98%
59,22.1605,0.0011,65.2707,0.9364,0.0458,0.0751,95%,92%,98%
60,21.9444,0.0009,66.3798,0.9356,0.0458,0.0838,95%,92%,98%
61,21.7131,0.0102,67.4602,0.9395,0.0530,0.0853,95%,92%,98%
62,21.8142,0.0005,68.5312,0.9480,0.0495,0.0997,95%,91%,98%
63,21.7968,0.0000,69.6342,0.9478,0.0442,0.0925,95%,91%,98%
64,21.8360,0.0000,70.7049,0.9475,0.0472,0.0926,95%,91%,98%
65,21.9950,0.0007,71.8006,0.9409,0.0511,0.1024,95%,91%,98%
66,22.0758,0.0068,72.9104,0.9326,0.0439,0.1007,94%,91%,98%
67,22.1080,0.0086,73.9893,0.9314,0.0471,0.0950,94%,91%,98%
68,22.1435,0.0080,75.0926,0.9283,0.0529,0.0896,94%,91%,98%
69,22.0258,0.0154,76.1959,0.9307,0.0515,0.0778,94%,90%,98%
70,21.7443,0.0314,77.2919,0.9344,0.0527,0.0740,94%,90%,98%
71,21.7064,0.0198,78.3977,0.9333,0.0571,0.0554,94%,90%,98%
72,21.5351,0.0190,79.4873,0.9344,0.0608,0.1332,94%,90%,98%
73,21.4802,0.0243,80.5429,0.9307,0.0605,0.1528,94%,90%,98%
74,21.6923,0.0242,81.5773,0.9318,0.0594,0.1122,94%,90%,98%
75,21.5326,0.0349,82.5861,0.9248,0.0609,0.1164,94%,90%,98%
76,21.2676,0.0315,83.5883,0.9260,0.0637,0.0976,94%,90%,98%
77,21.1365,0.0226,84.5917,0.9299,0.0627,0.1028,94%,89%,98%
78,21.0126,0.0288,85.5747,0.9209,0.0591,0.0788,94%,89%,98%
79,21.1098,0.0058,86.5808,0.9168,0.0622,0.0524,93%,89%,98%
80,21.1440,0.0012,87.5760,0.9188,0.0663,0.0551,93%,89%,98%
81,21.3143,0.0194,88.5803,0.9200,0.0712,0.0654,93%,89%,98%
82,21.4129,0.0188,89.5999,0.9210,0.0693,0.0510,93%,89%,98%
83,21.3567,0.0209,90.6415,0.9162,0.0772,0.0541,93%,89%,98%
84,21.5452,0.0125,91.6558,0.9218,0.0890,0.0785,93%,89%,98%
85,21.3453,0.0116,92.6548,0.9229,0.0853,0.0798,93%,88%,97%
86,21.0590,0.0096,93.6799,0.9234,0.0869,0.0892,93%,88%,97%
87,20.8130,0.0237,94.7215,0.9264,0.0899,0.0661,93%,88%,97%
88,20.9464,0.0149,95.7644,0.9288,0.0802,0.0426,93%,88%,97%
89,20.9235,0.0000,96.8403,0.9310,0.0783,0.0422,93%,88%,97%
90,20.7203,0.0025,97.8960,0.9303,0.0724,0.0328,93%,88%,97%
91,20.7209,0.0141,98.9474,0.9289,0.0698,0.0190,93%,88%,97%
92,20.5123,0.0079,99.9979,0.9213,0.0631,0.0343,93%,88%,97%
93,20.6301,0.0000,101.0222,0.9245,0.0604,0.0179,92%,87%,97%
94,20.5978,0.0000,102.0232,0.9309,0.0594,0.0000,92%,87%,97%
95,20.5264,0.0027,103.0348,0.9252,0.0575,0.0247,92%,87%,97%
96,20.4073,0.0000,104.0064,0.9266,0.0630,0.0312,92%,87%,97%
97,20.4855,0.0000,104.9697,0.9259,0.0620,0.0424,92%,87%,97%
98,20.4026,0.0000,105.9166,0.9223,0.0650,0.0500,92%,87%,97%
99,20.1552,0.0000,106.8851,0.9200,0.0671,0.0515,92%,87%,97%
100,19.9260,0.0055,107.8490,0.9127,0.0664,0.0565,92%,86%,97%
